year,quarter,period,market,internal_class,rba,available_space,availability_proportion,overall_rent,direct_overall_rent,sublet_overall_rent,leasing
2020,Q4,2020-Q4,Atlanta,A,107571602,29418351,0.273476926,29.38969743,29.968801,23.572581,684223
2020,Q4,2020-Q4,Atlanta,O,65943486,13790357,0.20912387,29.38969743,29.968801,23.572581,279519
2021,Q1,2021-Q1,Atlanta,A,107814787,30589251,0.283720368,29.67698494,30.289227,23.538886,854768
2021,Q1,2021-Q1,Atlanta,O,65873645,14787990,0.224490234,29.67698494,30.289227,23.538886,520966
2021,Q2,2021-Q2,Atlanta,A,107943296,30755214,0.284920094,29.54800669,30.071888,24.258929,516849
2021,Q2,2021-Q2,Atlanta,O,65544105,14429869,0.2201551,29.54800669,30.071888,24.258929,461886
2021,Q3,2021-Q3,Atlanta,A,108333796,31773511,0.293292695,29.99289383,30.613298,23.754418,1486274
2021,Q3,2021-Q3,Atlanta,O,65544105,14278276,0.217842261,29.99289383,30.613298,23.754418,636546
2021,Q4,2021-Q4,Atlanta,A,108820580,31398976,0.288538951,30.23921916,30.778812,24.766808,1950946
2021,Q4,2021-Q4,Atlanta,O,65405859,14065492,0.215049419,30.23921916,30.778812,24.766808,449317
2022,Q1,2022-Q1,Atlanta,A,108820580,31901849,0.293160071,30.69725085,31.234569,25.495909,1260591
2022,Q1,2022-Q1,Atlanta,O,65710838,12964794,0.197300695,30.69725085,31.234569,25.495909,528630
2022,Q2,2022-Q2,Atlanta,A,109205580,33413962,0.305973028,30.71439732,31.237762,25.822329,1601767
2022,Q2,2022-Q2,Atlanta,O,65279571,12630484,0.19348295,30.71439732,31.237762,25.822329,739571
2022,Q3,2022-Q3,Atlanta,A,109205580,32520469,0.297791276,30.5982521,31.125797,26.020264,1462300
2022,Q3,2022-Q3,Atlanta,O,65190925,12257592,0.188026048,30.5982521,31.125797,26.020264,533659
2022,Q4,2022-Q4,Atlanta,A,109272928,33899739,0.310229987,30.72068884,31.264142,25.558083,1142989
2022,Q4,2022-Q4,Atlanta,O,64840462,12881584,0.198665827,30.72068884,31.264142,25.558083,421775
2023,Q1,2023-Q1,Atlanta,A,109272928,35267651,0.322748293,30.88030722,31.474293,25.470308,1038995
2023,Q1,2023-Q1,Atlanta,O,64866854,12795829,0.197262981,30.88030722,31.474293,25.470308,333805
2023,Q2,2023-Q2,Atlanta,A,109195336,35900558,0.328773731,30.87685339,31.48625,25.109166,1182769
2023,Q2,2023-Q2,Atlanta,O,64148727,12840671,0.200170317,30.87685339,31.48625,25.109166,431411
2023,Q3,2023-Q3,Atlanta,A,111811614,36258855,0.32428523,31.30754107,32.148773,25.455708,1294307
2023,Q3,2023-Q3,Atlanta,O,64236227,12965279,0.201837493,31.30754107,32.148773,25.455708,443695
2023,Q4,2023-Q4,Atlanta,A,112310337,38462335,0.342464781,32.48192988,33.480141,25.747147,1571157
2023,Q4,2023-Q4,Atlanta,O,64236227,13054991,0.203234088,32.48192988,33.480141,25.747147,438477
2024,Q1,2024-Q1,Atlanta,A,112602971,39063233,0.346911211,32.56767104,33.631677,26.207404,1859961
2024,Q1,2024-Q1,Atlanta,O,63904311,13177409,0.206205322,32.56767104,33.631677,26.207404,567235
2024,Q2,2024-Q2,Atlanta,A,113175903,39198751,0.346352447,32.61472176,33.803635,26.307451,2244642
2024,Q2,2024-Q2,Atlanta,O,64666535,12743024,0.197057473,32.61472176,33.803635,26.307451,352338
2024,Q3,2024-Q3,Atlanta,A,113141200,40048984,0.353973477,32.56920653,33.704949,26.181667,1761038
2024,Q3,2024-Q3,Atlanta,O,63894083,14102954,0.220723944,32.56920653,33.704949,26.181667,422109
2024,Q4,2024-Q4,Atlanta,A,114249252,39203404,0.343,32.87,34.018947,25.88464,1948774
2024,Q4,2024-Q4,Atlanta,O,63301506,13371112,0.211,32.87,34.018947,25.88464,342931
2018,Q1,2018-Q1,Austin,A,36815073,4281986,0.116310675,36.59661754,NA,NA,1738905
2018,Q1,2018-Q1,Austin,O,27947525,3360936,0.121081833,36.59661754,NA,NA,185674
2018,Q2,2018-Q2,Austin,A,37106334,4709924,0.126930459,35.74421161,NA,NA,1131284
2018,Q2,2018-Q2,Austin,O,27947525,3410823,0.122879073,35.74421161,NA,NA,564166
2018,Q3,2018-Q3,Austin,A,37106334,4199842,0.113183965,34.546588,NA,NA,972136
2018,Q3,2018-Q3,Austin,O,27947525,3343603,0.12045739,34.546588,NA,NA,413090
2018,Q4,2018-Q4,Austin,A,37479825,4425204,0.118068961,35.53022777,NA,NA,694070
2018,Q4,2018-Q4,Austin,O,27947525,3592630,0.129428893,35.53022777,NA,NA,381866
2019,Q1,2019-Q1,Austin,A,38276350,4087849,0.106798297,36.01022389,37.608619,29.095115,2015649
2019,Q1,2019-Q1,Austin,O,27947525,3214837,0.115818438,36.01022389,37.608619,29.095115,662691
2019,Q2,2019-Q2,Austin,A,38276350,3751832,0.098019587,36.2009203,37.50936,30.130918,1194099
2019,Q2,2019-Q2,Austin,O,27947525,3295636,0.11872932,36.2009203,37.50936,30.130918,487384
2019,Q3,2019-Q3,Austin,A,38276350,5642815,0.147423017,37.43720638,38.289479,32.677451,1072321
2019,Q3,2019-Q3,Austin,O,27947525,3367040,0.121301737,37.43720638,38.289479,32.677451,668291
2019,Q4,2019-Q4,Austin,A,38276350,5839118,0.152551589,38.34969342,39.257077,33.371312,675683
2019,Q4,2019-Q4,Austin,O,27947525,3267189,0.117704483,38.34969342,39.257077,33.371312,478554
2020,Q1,2020-Q1,Austin,A,39304932,5924551,0.150733017,39.3397592,39.859706,36.341803,1042494
2020,Q1,2020-Q1,Austin,O,28065525,3403248,0.12208717,39.3397592,39.859706,36.341803,425956
2020,Q2,2020-Q2,Austin,A,40009382,6817421,0.170395559,39.67481267,40.289973,36.978548,574473
2020,Q2,2020-Q2,Austin,O,28069944,3702054,0.132785404,39.67481267,40.289973,36.978548,257258
2020,Q3,2020-Q3,Austin,A,40090080,7445220,0.185712276,39.41948843,39.796654,37.653994,280678
2020,Q3,2020-Q3,Austin,O,28087286,4820120,0.172780761,39.41948843,39.796654,37.653994,340394
2020,Q4,2020-Q4,Austin,A,40513302,8584757,0.211899711,39.02713471,39.788927,36.275499,280872
2020,Q4,2020-Q4,Austin,O,28182286,5001054,0.178658081,39.02713471,39.788927,36.275499,255762
2021,Q1,2021-Q1,Austin,A,40746879,9150649,0.224573003,44.60552591,45.134082,42.806495,501748
2021,Q1,2021-Q1,Austin,O,28132320,5309149,0.190003648,44.60552591,45.134082,42.806495,158712
2021,Q2,2021-Q2,Austin,A,41314792,9779830,0.236714976,44.54846166,45.038485,42.346255,991886
2021,Q2,2021-Q2,Austin,O,28024381,5420563,0.193423113,44.54846166,45.038485,42.346255,477781
2021,Q3,2021-Q3,Austin,A,41483544,9364615,0.225742887,45.23699652,45.449003,44.122542,1071181
2021,Q3,2021-Q3,Austin,O,28140877,5019035,0.178353894,45.23699652,45.449003,44.122542,461385
2021,Q4,2021-Q4,Austin,A,42113862,9147431,0.217207128,44.44760119,44.553622,43.826438,2291303
2021,Q4,2021-Q4,Austin,O,28449618,5490888,0.193003927,44.44760119,44.553622,43.826438,363763
2022,Q1,2022-Q1,Austin,A,42385676,8731830,0.206008983,45.54607864,45.531868,45.637344,1582592
2022,Q1,2022-Q1,Austin,O,28300790,5208198,0.184030128,45.54607864,45.531868,45.637344,397780
2022,Q2,2022-Q2,Austin,A,42841676,8649747,0.201900294,44.10839909,44.915849,38.455199,843421
2022,Q2,2022-Q2,Austin,O,28227176,5293270,0.187523895,44.10839909,44.915849,38.455199,255569
2022,Q3,2022-Q3,Austin,A,45168161,9353220,0.207075511,44.94898548,46.682034,36.320004,779108
2022,Q3,2022-Q3,Austin,O,28227176,5731370,0.203044399,44.94898548,46.682034,36.320004,418671
2022,Q4,2022-Q4,Austin,A,45168161,11467778,0.253890744,45.53337579,47.401417,38.197256,710907
2022,Q4,2022-Q4,Austin,O,28227176,5524554,0.19571756,45.53337579,47.401417,38.197256,362688
2023,Q1,2023-Q1,Austin,A,45168161,11810833,0.261485806,46.21243321,48.258722,39.518863,413820
2023,Q1,2023-Q1,Austin,O,28227176,5630169,0.199459167,46.21243321,48.258722,39.518863,248833
2023,Q2,2023-Q2,Austin,A,45372161,14531520,0.320273923,45.84282199,47.519502,40.19015,900127
2023,Q2,2023-Q2,Austin,O,28227176,5414969,0.191835308,45.84282199,47.519502,40.19015,212937
2023,Q3,2023-Q3,Austin,A,46569922,15340088,0.329399049,46.66472157,47.829362,43.660604,676524
2023,Q3,2023-Q3,Austin,O,28820451,5921941,0.205477041,46.66472157,47.829362,43.660604,297902
2023,Q4,2023-Q4,Austin,A,46749922,15091096,0.322804731,46.07299917,46.970607,43.758664,937325
2023,Q4,2023-Q4,Austin,O,28820451,5830579,0.202307001,46.07299917,46.970607,43.758664,350692
2024,Q1,2024-Q1,Austin,A,46749922,14928085,0.319317859,46.34618482,47.335062,43.352245,635915
2024,Q1,2024-Q1,Austin,O,28820451,5869706,0.203664613,46.34618482,47.335062,43.352245,350722
2024,Q2,2024-Q2,Austin,A,46749922,15386010,0.329113062,46.47011796,47.473588,43.296281,637036
2024,Q2,2024-Q2,Austin,O,28820451,5860410,0.203342064,46.47011796,47.473588,43.296281,294246
2024,Q3,2024-Q3,Austin,A,46533411,16009071,0.344033903,46.52417728,47.521234,43.375982,997318
2024,Q3,2024-Q3,Austin,O,28787151,6049318,0.210139517,46.52417728,47.521234,43.375982,286801
2024,Q4,2024-Q4,Austin,A,46643508,15220375,0.326,46.38,47.35705,43.309563,827899
2024,Q4,2024-Q4,Austin,O,28787151,5891130,0.205,46.38,47.35705,43.309563,321542
2018,Q1,2018-Q1,Baltimore,A,41033288,6813380,0.166045188,22.95403422,NA,NA,380750
2018,Q1,2018-Q1,Baltimore,O,40265706,6531089,0.162199789,22.95403422,NA,NA,247089
2018,Q2,2018-Q2,Baltimore,A,41162288,6931274,0.168388939,23.42917575,NA,NA,426376
2018,Q2,2018-Q2,Baltimore,O,40289706,6678421,0.165759983,23.42917575,NA,NA,342126
2018,Q3,2018-Q3,Baltimore,A,41339238,7241564,0.175174105,23.5329756,NA,NA,397079
2018,Q3,2018-Q3,Baltimore,O,40264706,6697067,0.166325988,23.5329756,NA,NA,328047
2018,Q4,2018-Q4,Baltimore,A,41594238,7167071,0.172309227,23.47865105,NA,NA,368227
2018,Q4,2018-Q4,Baltimore,O,40390703,5753680,0.142450603,23.47865105,NA,NA,495782
2019,Q1,2019-Q1,Baltimore,A,41915202,7386483,0.17622444,23.8385939,23.901592,23.045405,568410
2019,Q1,2019-Q1,Baltimore,O,40390703,5966268,0.147713893,23.8385939,23.901592,23.045405,333096
2019,Q2,2019-Q2,Baltimore,A,41915202,7204407,0.171880527,23.92868563,23.898512,24.529739,419460
2019,Q2,2019-Q2,Baltimore,O,40390703,6092270,0.150833473,23.92868563,23.898512,24.529739,227114
2019,Q3,2019-Q3,Baltimore,A,41915202,7271253,0.173475318,24.15110161,24.125738,24.587087,506669
2019,Q3,2019-Q3,Baltimore,O,40390703,5859428,0.14506873,24.15110161,24.125738,24.587087,477369
2019,Q4,2019-Q4,Baltimore,A,41915202,7232688,0.172555246,24.29757391,24.295546,24.463646,635359
2019,Q4,2019-Q4,Baltimore,O,40359224,5591711,0.138548526,24.29757391,24.295546,24.463646,344594
2020,Q1,2020-Q1,Baltimore,A,41915202,7084214,0.169012999,24.0218043,24.080462,22.756401,340764
2020,Q1,2020-Q1,Baltimore,O,40359224,5617624,0.139190585,24.0218043,24.080462,22.756401,338516
2020,Q2,2020-Q2,Baltimore,A,41915202,7213269,0.172091954,24.08185435,24.096499,23.407327,177416
2020,Q2,2020-Q2,Baltimore,O,40279224,5388561,0.133780159,24.08185435,24.096499,23.407327,294405
2020,Q3,2020-Q3,Baltimore,A,41915202,7792321,0.185906798,24.36124971,24.349546,24.214383,277991
2020,Q3,2020-Q3,Baltimore,O,40237879,5586204,0.138829485,24.36124971,24.349546,24.214383,122985
2020,Q4,2020-Q4,Baltimore,A,41915202,7939328,0.189414046,24.29560541,24.336265,23.385485,317766
2020,Q4,2020-Q4,Baltimore,O,40191600,5585968,0.138983469,24.29560541,24.336265,23.385485,409208
2021,Q1,2021-Q1,Baltimore,A,41915202,8077778,0.192717144,24.61656583,24.700593,23.724276,425396
2021,Q1,2021-Q1,Baltimore,O,40161600,5739691,0.142914899,24.61656583,24.700593,23.724276,248268
2021,Q2,2021-Q2,Baltimore,A,41915202,8302504,0.198078587,24.51832427,24.625274,23.417205,443815
2021,Q2,2021-Q2,Baltimore,O,40161600,6028309,0.150101316,24.51832427,24.625274,23.417205,273581
2021,Q3,2021-Q3,Baltimore,A,41915202,8474096,0.202172377,24.46321323,24.591744,23.207676,701467
2021,Q3,2021-Q3,Baltimore,O,40161600,5837069,0.145339553,24.46321323,24.591744,23.207676,281694
2021,Q4,2021-Q4,Baltimore,A,42019702,8024768,0.190976319,24.47440937,24.504528,24.149053,344541
2021,Q4,2021-Q4,Baltimore,O,40161600,5847385,0.145596415,24.47440937,24.504528,24.149053,380674
2022,Q1,2022-Q1,Baltimore,A,42019702,8402190,0.199958343,24.67312802,24.675172,24.649701,482890
2022,Q1,2022-Q1,Baltimore,O,40429417,6083642,0.15047563,24.67312802,24.675172,24.649701,267223
2022,Q2,2022-Q2,Baltimore,A,41691149,8592364,0.206095639,24.61975938,24.702223,23.652487,451606
2022,Q2,2022-Q2,Baltimore,O,39266605,5742367,0.146240476,24.61975938,24.702223,23.652487,407614
2022,Q3,2022-Q3,Baltimore,A,41691149,8707718,0.208862509,24.48612931,24.633535,22.9096,612165
2022,Q3,2022-Q3,Baltimore,O,39266605,5173549,0.131754426,24.48612931,24.633535,22.9096,364853
2022,Q4,2022-Q4,Baltimore,A,41691149,8531519,0.204636217,23.79803235,24.065766,20.667727,794630
2022,Q4,2022-Q4,Baltimore,O,39266605,5130843,0.130666835,23.79803235,24.065766,20.667727,684036
2023,Q1,2023-Q1,Baltimore,A,40810375,8315346,0.203755687,23.94381865,24.190365,20.274294,401390
2023,Q1,2023-Q1,Baltimore,O,37209253,4952619,0.133101812,23.94381865,24.190365,20.274294,113021
2023,Q2,2023-Q2,Baltimore,A,40810375,8531171,0.209044171,23.921169,24.169643,20.833764,460683
2023,Q2,2023-Q2,Baltimore,O,37209253,4949103,0.133007319,23.921169,24.169643,20.833764,219858
2023,Q3,2023-Q3,Baltimore,A,40810375,8533828,0.209109277,23.88136908,24.226435,20.296559,242300
2023,Q3,2023-Q3,Baltimore,O,37209253,4967687,0.133506765,23.88136908,24.226435,20.296559,230973
2023,Q4,2023-Q4,Baltimore,A,40810375,8706021,0.21332862,23.84373487,24.245275,20.191732,628928
2023,Q4,2023-Q4,Baltimore,O,37209253,4918454,0.132183626,23.84373487,24.245275,20.191732,272128
2024,Q1,2024-Q1,Baltimore,A,40681672,9242539,0.227191719,23.93132152,24.339301,19.820763,601000
2024,Q1,2024-Q1,Baltimore,O,37209253,4981730,0.133884171,23.93132152,24.339301,19.820763,205679
2024,Q2,2024-Q2,Baltimore,A,40685077,9290342,0.228347657,23.91634009,24.331683,19.482235,355628
2024,Q2,2024-Q2,Baltimore,O,37184695,4975652,0.133809138,23.91634009,24.331683,19.482235,277204
2024,Q3,2024-Q3,Baltimore,A,40395077,9395890,0.232599878,24.10446329,24.430061,20.83619,499160
2024,Q3,2024-Q3,Baltimore,O,37184695,5085943,0.136775171,24.10446329,24.430061,20.83619,339083
2024,Q4,2024-Q4,Baltimore,A,40395077,9168482,0.227,24.14,24.419666,20.984465,564197
2024,Q4,2024-Q4,Baltimore,O,37164440,5155778,0.139,24.14,24.419666,20.984465,280599
2018,Q1,2018-Q1,Boston,A,133073672,17127987,0.128710561,32.40995594,NA,NA,2285080
2018,Q1,2018-Q1,Boston,O,116186937,14486098,0.124679231,32.40995594,NA,NA,934610
2018,Q2,2018-Q2,Boston,A,133073672,18646228,0.140119587,35.21716338,NA,NA,1898167
2018,Q2,2018-Q2,Boston,O,116186937,15267730,0.13140659700000001,35.21716338,NA,NA,1126223
2018,Q3,2018-Q3,Boston,A,133284672,18386614,0.137949951,31.39963948,NA,NA,2930333
2018,Q3,2018-Q3,Boston,O,116186937,15204502,0.130862405,31.39963948,NA,NA,1189301
2018,Q4,2018-Q4,Boston,A,133484672,18508938,0.138659651,32.90895363,NA,NA,1356055
2018,Q4,2018-Q4,Boston,O,116186937,14664944,0.126218527,32.90895363,NA,NA,1037042
2019,Q1,2019-Q1,Boston,A,134931259,17618013,0.130570285,29.9110671,29.056201,26.273218,2054850
2019,Q1,2019-Q1,Boston,O,116181082,14328013,0.123324837,29.9110671,29.056201,26.273218,1219157
2019,Q2,2019-Q2,Boston,A,135145149,18038525,0.133475194,34.32517867,32.87633,39.755551,2986422
2019,Q2,2019-Q2,Boston,O,116276482,14248686,0.122541427,34.32517867,32.87633,39.755551,988837
2019,Q3,2019-Q3,Boston,A,135415580,18312673,0.135233132,32.55862739,31.356192,38.963391,1740558
2019,Q3,2019-Q3,Boston,O,116276482,13488527,0.116003914,32.55862739,31.356192,38.963391,888593
2019,Q4,2019-Q4,Boston,A,136348126,18363013,0.134677414,33.01673955,31.371338,40.463805,1951549
2019,Q4,2019-Q4,Boston,O,116276482,14720271,0.126597148,33.01673955,31.371338,40.463805,781094
2020,Q1,2020-Q1,Boston,A,136272102,19569402,0.143605343,39.05745126,37.763937,42.355422,1871868
2020,Q1,2020-Q1,Boston,O,114891456,15757803,0.137153828,39.05745126,37.763937,42.355422,980095
2020,Q2,2020-Q2,Boston,A,136272102,19753242,0.144954409,39.86543098,39.03272,41.969589,1062427
2020,Q2,2020-Q2,Boston,O,114891456,15654747,0.136256842,39.86543098,39.03272,41.969589,561245
2020,Q3,2020-Q3,Boston,A,137418177,22397073,0.162984792,40.4329649,39.298939,40.137772,1701703
2020,Q3,2020-Q3,Boston,O,114891456,16270327,0.141614769,40.4329649,39.298939,40.137772,944795
2020,Q4,2020-Q4,Boston,A,137418177,22314770,0.162385868,39.46814799,37.985703,43.004066,972294
2020,Q4,2020-Q4,Boston,O,114891456,17402541,0.15146941,39.46814799,37.985703,43.004066,634440
2021,Q1,2021-Q1,Boston,A,141241343,26009882,0.184152044,38.39505432,37.264579,36.736541,2242772
2021,Q1,2021-Q1,Boston,O,115564780,18183549,0.157345075,38.39505432,37.264579,36.736541,865459
2021,Q2,2021-Q2,Boston,A,142251546,24675840,0.173466234,38.53758915,37.711697,36.65007,2015420
2021,Q2,2021-Q2,Boston,O,115517911,17804289,0.154125787,38.53758915,37.711697,36.65007,1136058
2021,Q3,2021-Q3,Boston,A,142251546,25139380,0.176724828,38.49235145,38.524935,34.238592,2084710
2021,Q3,2021-Q3,Boston,O,115517911,17076353,0.147824288,38.49235145,38.524935,34.238592,1242104
2021,Q4,2021-Q4,Boston,A,142251546,24089729,0.169345991,40.00788937,38.868673,38.752758,2098289
2021,Q4,2021-Q4,Boston,O,115517911,16938381,0.146629911,40.00788937,38.868673,38.752758,966560
2022,Q1,2022-Q1,Boston,A,144598591,22826092,0.157858329,38.86171719,38.034115,39.124107,2458924
2022,Q1,2022-Q1,Boston,O,116285336,16709291,0.143692159,38.86171719,38.034115,39.124107,1005454
2022,Q2,2022-Q2,Boston,A,144914621,26252150,0.181155979,43.42282938,43.481288,43.081936,1935017
2022,Q2,2022-Q2,Boston,O,115406212,16994543,0.147258477,43.42282938,43.481288,43.081936,499676
2022,Q3,2022-Q3,Boston,A,145764621,26033132,0.178597055,43.65429267,43.440765,44.470291,2146044
2022,Q3,2022-Q3,Boston,O,115406212,16755686,0.14518877,43.65429267,43.440765,44.470291,925594
2022,Q4,2022-Q4,Boston,A,147442537,28276633,0.1917807,45.40872604,45.00269,46.75992,1795806
2022,Q4,2022-Q4,Boston,O,115436237,16403913,0.142103671,45.40872604,45.00269,46.75992,773535
2023,Q1,2023-Q1,Boston,A,147276306,29190889,0.198204924,44.9981034,44.574003,46.567795,1378934
2023,Q1,2023-Q1,Boston,O,115279162,17363318,0.150619745,44.9981034,44.574003,46.567795,593338
2023,Q2,2023-Q2,Boston,A,148033630,30562373,0.206455607,45.80155128,45.968465,45.190221,953734
2023,Q2,2023-Q2,Boston,O,115096822,16899359,0.146827329,45.80155128,45.968465,45.190221,783049
2023,Q3,2023-Q3,Boston,A,148325293,32108393,0.21647281,45.17517746,45.515794,43.755725,1771687
2023,Q3,2023-Q3,Boston,O,115554082,17152489,0.148436894,45.17517746,45.515794,43.755725,800401
2023,Q4,2023-Q4,Boston,A,150077293,33418968,0.222678377,46.45183114,47.463592,41.829055,1423338
2023,Q4,2023-Q4,Boston,O,115904082,17752252,0.153163303,46.45183114,47.463592,41.829055,555067
2024,Q1,2024-Q1,Boston,A,149902615,34723585,0.231640956,45.99146181,47.388931,38.821955,999795
2024,Q1,2024-Q1,Boston,O,115849292,18271497,0.157717813,45.99146181,47.388931,38.821955,624681
2024,Q2,2024-Q2,Boston,A,150846043,35446338,0.234983545,47.99037325,49.388691,40.094155,1050068
2024,Q2,2024-Q2,Boston,O,115964278,18471574,0.159286759,47.99037325,49.388691,40.094155,617287
2024,Q3,2024-Q3,Boston,A,150846043,37871558,0.251060997,49.07051981,50.056427,44.039592,2692150
2024,Q3,2024-Q3,Boston,O,115964278,18855122,0.162594226,49.07051981,50.056427,44.039592,679476
2024,Q4,2024-Q4,Boston,A,150883417,38778673,0.257,50.39,51.43981,43.77025,1773848
2024,Q4,2024-Q4,Boston,O,115896183,18348472,0.158,50.39,51.43981,43.77025,685933
2018,Q1,2018-Q1,Charlotte,A,35441291,5603221,0.158098671,26.03773488,NA,NA,1130188
2018,Q1,2018-Q1,Charlotte,O,27835480,3019728,0.108484855,26.03773488,NA,NA,172401
2018,Q2,2018-Q2,Charlotte,A,37279246,6442771,0.172824606,26.82266044,NA,NA,522574
2018,Q2,2018-Q2,Charlotte,O,27835480,3003910,0.107916587,26.82266044,NA,NA,237895
2018,Q3,2018-Q3,Charlotte,A,37279246,6131532,0.164475751,27.46022386,NA,NA,506425
2018,Q3,2018-Q3,Charlotte,O,27835480,3056498,0.109805831,27.46022386,NA,NA,247663
2018,Q4,2018-Q4,Charlotte,A,37279246,5842469,0.156721759,27.39650789,NA,NA,670952
2018,Q4,2018-Q4,Charlotte,O,27835480,3033848,0.108992121,27.39650789,NA,NA,254516
2019,Q1,2019-Q1,Charlotte,A,37360746,5181042,0.138676085,27.78545354,28.413416,20.709316,871523
2019,Q1,2019-Q1,Charlotte,O,27835480,3028884,0.108813787,27.78545354,28.413416,20.709316,350261
2019,Q2,2019-Q2,Charlotte,A,37398747,4768532,0.127505127,28.14550571,28.435415,24.477567,2279759
2019,Q2,2019-Q2,Charlotte,O,27835480,2971476,0.106751383,28.14550571,28.435415,24.477567,147074
2019,Q3,2019-Q3,Charlotte,A,37428747,4352472,0.116286874,28.32732033,28.524899,24.082205,666020
2019,Q3,2019-Q3,Charlotte,O,27835480,2855141,0.102572005,28.32732033,28.524899,24.082205,298228
2019,Q4,2019-Q4,Charlotte,A,37428747,4047971,0.10815139,28.74416313,29.060901,23.73284,731410
2019,Q4,2019-Q4,Charlotte,O,27822480,3228847,0.116051732,28.74416313,29.060901,23.73284,191236
2020,Q1,2020-Q1,Charlotte,A,37571696,4399334,0.117091706,29.8173801,30.048317,26.404503,573700
2020,Q1,2020-Q1,Charlotte,O,27822480,3030071,0.108907294,29.8173801,30.048317,26.404503,299010
2020,Q2,2020-Q2,Charlotte,A,37930196,4954086,0.130610609,30.76995092,31.012338,26.162365,378899
2020,Q2,2020-Q2,Charlotte,O,27822480,3099743,0.111411456,30.76995092,31.012338,26.162365,170580
2020,Q3,2020-Q3,Charlotte,A,37979446,5592654,0.147254755,30.75417696,30.988238,27.720653,246282
2020,Q3,2020-Q3,Charlotte,O,27822480,3353132,0.120518803,30.75417696,30.988238,27.720653,110911
2020,Q4,2020-Q4,Charlotte,A,38022046,5874034,0.154490213,30.61379123,30.874524,27.446056,142997
2020,Q4,2020-Q4,Charlotte,O,27822480,3543721,0.127368984,30.61379123,30.874524,27.446056,220682
2021,Q1,2021-Q1,Charlotte,A,38309313,6590166,0.172025168,30.65979353,30.999636,27.155031,226871
2021,Q1,2021-Q1,Charlotte,O,28015029,3845038,0.137249117,30.65979353,30.999636,27.155031,144960
2021,Q2,2021-Q2,Charlotte,A,38309313,6840076,0.178548647,30.38195217,30.907411,26.869218,531720
2021,Q2,2021-Q2,Charlotte,O,27556436,3928594,0.142565388,30.38195217,30.907411,26.869218,220964
2021,Q3,2021-Q3,Charlotte,A,38643633,6928507,0.17929233,30.15562286,30.915575,26.436564,493109
2021,Q3,2021-Q3,Charlotte,O,27631436,4372537,0.158245015,30.15562286,30.915575,26.436564,240965
2021,Q4,2021-Q4,Charlotte,A,38385622,6872973,0.179050713,30.47307376,31.388907,26.630353,301776
2021,Q4,2021-Q4,Charlotte,O,27066071,4007090,0.148048455,30.47307376,31.388907,26.630353,249092
2022,Q1,2022-Q1,Charlotte,A,39205033,8259313,0.210669712,31.45224848,32.729052,26.62017,659002
2022,Q1,2022-Q1,Charlotte,O,26722869,4006212,0.149916987,31.45224848,32.729052,26.62017,248538
