year,quarter,market,city,state,cbd_suburban,building_name,building_id,address,leased_sf,company_name,internal_industry,transaction_type,internal_class,rba,available_space,overall_rent,leasing
2018,Q1,South Florida,Miami,FL,CBD,2820 Coral Way,South Florida_Coral Gables/Grove_Miami_2820 Coral Way_2828 Coral Way,2828 Coral Way,1153,NA,NA,New,O,50893104,7819149,32.8268385375392,603367
2018,Q1,South Florida,Miami,FL,Suburban,3550 Biscayne,South Florida_NE Dade_Miami_3550 Biscayne_3550 Biscayne Blvd,3550 Biscayne Blvd,673,NA,NA,New,O,50893104,7819149,32.8268385375392,603367
2018,Q1,South Florida,Miami,FL,CBD,44 West,South Florida_Downtown Miami_Miami_44 West_44 W Flagler St,44 W Flagler St,6394,NA,NA,New,O,50893104,7819149,32.8268385375392,603367
2018,Q1,South Florida,Miami,FL,CBD,444 Brickell,South Florida_Brickell_Miami_444 Brickell_444 Brickell Ave,444 Brickell Ave,641,NA,NA,New,O,50893104,7819149,32.8268385375392,603367
2018,Q1,South Florida,Miami,FL,CBD,444 Brickell,South Florida_Brickell_Miami_444 Brickell_444 Brickell Ave,444 Brickell Ave,655,NA,NA,New,O,50893104,7819149,32.8268385375392,603367
2018,Q1,South Florida,Miami,FL,CBD,444 Brickell,South Florida_Brickell_Miami_444 Brickell_444 Brickell Ave,444 Brickell Ave,3734,NA,NA,New,O,50893104,7819149,32.8268385375392,603367
2018,Q1,South Florida,Miami,FL,Suburban,701 Waterford,South Florida_West Miami/Airport_Miami_701 Waterford_701 Waterford Way,701 Waterford Way,2766,NA,NA,New,A,51568556,8778332,32.8268385375392,610763
2018,Q1,South Florida,Miami,FL,CBD,848 Brickell Avenue,South Florida_Brickell_Miami_848 Brickell Avenue_848 Brickell Ave,848 Brickell Ave,1000,NA,NA,New,O,50893104,7819149,32.8268385375392,603367
2018,Q1,South Florida,Miami,FL,CBD,848 Brickell Avenue,South Florida_Brickell_Miami_848 Brickell Avenue_848 Brickell Ave,848 Brickell Ave,1966,NA,NA,New,O,50893104,7819149,32.8268385375392,603367
2018,Q1,South Florida,Miami,FL,CBD,Brickell Arch,South Florida_Brickell_Miami_Brickell Arch_1395 Brickell Ave,1395 Brickell Ave,1497,NA,NA,New,A,51568556,8778332,32.8268385375392,610763
2018,Q1,South Florida,Miami,FL,CBD,Brickell Arch,South Florida_Brickell_Miami_Brickell Arch_1395 Brickell Ave,1395 Brickell Ave,4181,NA,NA,New,A,51568556,8778332,32.8268385375392,610763
2018,Q1,South Florida,Miami,FL,CBD,Brickell Key Centre II,South Florida_Brickell_Miami_Brickell Key Centre II_601 Brickell Key Dr,601 Brickell Key Dr,2512,NA,NA,New,A,51568556,8778332,32.8268385375392,610763
2018,Q1,South Florida,Miami,FL,CBD,Brickell World Plaza,South Florida_Brickell_Miami_Brickell World Plaza_600 Brickell Ave,600 Brickell Ave,5710,NA,NA,New,A,51568556,8778332,32.8268385375392,610763
2018,Q1,South Florida,Miami,FL,CBD,Citigroup Center,South Florida_Downtown Miami_Miami_Citigroup Center_201 S Biscayne Blvd,201 S Biscayne Blvd,2405,NA,NA,New,A,51568556,8778332,32.8268385375392,610763
2018,Q1,South Florida,Miami,FL,CBD,Coral Plaza,South Florida_Coral Gables/Grove_Miami_Coral Plaza_2100 Coral Way,2100 Coral Way,2300,NA,NA,New,O,50893104,7819149,32.8268385375392,603367
2018,Q1,South Florida,Miami,FL,Suburban,Cutler Bay Office Center,South Florida_South Dade_Miami_Cutler Bay Office Center_11285 SW 211th St,11285 SW 211th St,950,NA,NA,New,O,50893104,7819149,32.8268385375392,603367
2018,Q1,South Florida,Miami,FL,Suburban,Flagler West Corporate Center,South Florida_West Miami/Airport_Miami_Flagler West Corporate Center_8700 W Flagler St,8700 W Flagler St,4800,NA,NA,New,O,50893104,7819149,32.8268385375392,603367
2018,Q1,South Florida,Miami,FL,CBD,Four Seasons Hotel  Tower Office,South Florida_Brickell_Miami_Four Seasons Hotel  Tower Office_1441 Brickell Ave,1441 Brickell Ave,4067,NA,NA,New,A,51568556,8778332,32.8268385375392,610763
2018,Q1,South Florida,Miami,FL,CBD,Grove 2000,South Florida_Coral Gables/Grove_Miami_Grove 2000_2000 S Dixie Hwy,2000 S Dixie Hwy,3385,Miami Today,"Technology, Advertising, Media, and Information",Renewal,O,50893104,7819149,32.8268385375392,603367
2018,Q1,South Florida,Miami,FL,Suburban,Meridian Executive Centre,South Florida_West Miami/Airport_Miami_Meridian Executive Centre_815 NW 57th Ave,815 NW 57th Ave,1100,NA,NA,New,O,50893104,7819149,32.8268385375392,603367
2018,Q1,South Florida,Miami,FL,Suburban,Meridian Executive Centre,South Florida_West Miami/Airport_Miami_Meridian Executive Centre_815 NW 57th Ave,815 NW 57th Ave,1240,NA,NA,New,O,50893104,7819149,32.8268385375392,603367
2018,Q1,South Florida,Miami,FL,CBD,Pacific Bank,South Florida_Brickell_Miami_Pacific Bank_1390 Brickell Ave,1390 Brickell Ave,175,NA,NA,New,O,50893104,7819149,32.8268385375392,603367
2018,Q1,South Florida,Miami,FL,CBD,Pacific Bank,South Florida_Brickell_Miami_Pacific Bank_1390 Brickell Ave,1390 Brickell Ave,500,NA,NA,New,O,50893104,7819149,32.8268385375392,603367
2018,Q1,South Florida,Miami,FL,CBD,Southeast Financial Center,South Florida_Downtown Miami_Miami_Southeast Financial Center_200 S Biscayne Blvd,200 S Biscayne Blvd,1823,American Friends Of The Peres Institute For Peace,Associations and Non-profit Organizations (except Education and Non-profit Hospitals),Renewal,A,51568556,8778332,32.8268385375392,610763
2018,Q1,South Florida,Miami,FL,CBD,Southeast Financial Center,South Florida_Downtown Miami_Miami_Southeast Financial Center_200 S Biscayne Blvd,200 S Biscayne Blvd,1297,Claure Group,NA,Renewal,A,51568556,8778332,32.8268385375392,610763
2018,Q1,South Florida,Miami,FL,CBD,Southeast Financial Center,South Florida_Downtown Miami_Miami_Southeast Financial Center_200 S Biscayne Blvd,200 S Biscayne Blvd,1216,NA,NA,New,A,51568556,8778332,32.8268385375392,610763
2018,Q1,South Florida,Miami,FL,CBD,Wells Fargo Center,South Florida_Downtown Miami_Miami_Wells Fargo Center_333 SE 2nd Ave,333 SE 2nd Ave,2621,C. Czarnikow Sugar,NA,New,A,51568556,8778332,32.8268385375392,610763
2018,Q1,South Florida,Miami,FL,Suburban,NA,South Florida_South Dade_Miami_NA_7700 N Kendall Dr,7700 N Kendall Dr,1950,Law Of Chris Meyer,NA,New,O,50893104,7819149,32.8268385375392,603367
2018,Q1,South Florida,Miami,FL,CBD,NA,South Florida_Brickell_Miami_NA_999 Brickell Ave,999 Brickell Ave,2204,Brady Bones,NA,New,O,50893104,7819149,32.8268385375392,603367
2018,Q1,South Florida,Miami,FL,CBD,33 Downtown,South Florida_Downtown Miami_Miami_33 Downtown_33 SW 2nd Ave,33 SW 2nd Ave,1212,NA,NA,New,O,50893104,7819149,32.8268385375392,603367
2018,Q1,South Florida,Miami,FL,CBD,444 Brickell,South Florida_Brickell_Miami_444 Brickell_444 Brickell Ave,444 Brickell Ave,400,NA,NA,New,O,50893104,7819149,32.8268385375392,603367
2018,Q1,South Florida,Miami,FL,CBD,444 Brickell,South Florida_Brickell_Miami_444 Brickell_444 Brickell Ave,444 Brickell Ave,406,NA,NA,New,O,50893104,7819149,32.8268385375392,603367
2018,Q1,South Florida,Miami,FL,Suburban,4770 Building,South Florida_NE Dade_Miami_4770 Building_4770 Biscayne Blvd,4770 Biscayne Blvd,1159,NA,NA,New,O,50893104,7819149,32.8268385375392,603367
2018,Q1,South Florida,Miami,FL,Suburban,4770 Building,South Florida_NE Dade_Miami_4770 Building_4770 Biscayne Blvd,4770 Biscayne Blvd,1900,Tom James,NA,New,O,50893104,7819149,32.8268385375392,603367
2018,Q1,South Florida,Miami,FL,Suburban,5835 Blue Lagoon Dr,South Florida_West Miami/Airport_Miami_5835 Blue Lagoon Dr_5835 Waterford District Dr,5835 Waterford District Dr,3288,NA,NA,New,O,50893104,7819149,32.8268385375392,603367
2018,Q1,South Florida,Miami,FL,Suburban,6303 Waterford Office,South Florida_West Miami/Airport_Miami_6303 Waterford Office_6303 Waterford District Dr,6303 Waterford District Dr,1477,Rs&H,NA,New,O,50893104,7819149,32.8268385375392,603367
2018,Q1,South Florida,Miami,FL,Suburban,703 Waterford,South Florida_West Miami/Airport_Miami_703 Waterford_703 NW 62nd Ave,703 NW 62nd Ave,3496,NA,NA,New,A,51568556,8778332,32.8268385375392,610763
2018,Q1,South Florida,Miami,FL,Suburban,7200 NW 19th St,South Florida_West Miami/Airport_Miami_7200 NW 19th St_7200 Corporate Center Dr,7200 Corporate Center Dr,1640,NA,NA,New,O,50893104,7819149,32.8268385375392,603367
2018,Q1,South Florida,Miami,FL,Suburban,8180 Doral Blvd,South Florida_West Miami/Airport_Miami_8180 Doral Blvd_8180 NW 36th St,8180 NW 36th St,321,NA,NA,New,O,50893104,7819149,32.8268385375392,603367
2018,Q1,South Florida,Miami,FL,Suburban,8180 Doral Blvd,South Florida_West Miami/Airport_Miami_8180 Doral Blvd_8180 NW 36th St,8180 NW 36th St,463,NA,NA,New,O,50893104,7819149,32.8268385375392,603367
2018,Q1,South Florida,Miami,FL,Suburban,8180 Doral Blvd,South Florida_West Miami/Airport_Miami_8180 Doral Blvd_8180 NW 36th St,8180 NW 36th St,1447,NA,NA,New,O,50893104,7819149,32.8268385375392,603367
2018,Q1,South Florida,Miami,FL,Suburban,8180 Doral Blvd,South Florida_West Miami/Airport_Miami_8180 Doral Blvd_8180 NW 36th St,8180 NW 36th St,2281,NA,NA,New,O,50893104,7819149,32.8268385375392,603367
2018,Q1,South Florida,Miami,FL,CBD,848 Brickell Avenue,South Florida_Brickell_Miami_848 Brickell Avenue_848 Brickell Ave,848 Brickell Ave,1100,NA,NA,New,O,50893104,7819149,32.8268385375392,603367
2018,Q1,South Florida,Miami,FL,CBD,848 Brickell Avenue,South Florida_Brickell_Miami_848 Brickell Avenue_848 Brickell Ave,848 Brickell Ave,1537,NA,NA,New,O,50893104,7819149,32.8268385375392,603367
2018,Q1,South Florida,Miami,FL,Suburban,9350 Financial Centre,South Florida_South Dade_Miami_9350 Financial Centre_9350 S Dixie Hwy,9350 S Dixie Hwy,1320,NA,NA,New,A,51568556,8778332,32.8268385375392,610763
2018,Q1,South Florida,Miami,FL,Suburban,9350 Financial Centre,South Florida_South Dade_Miami_9350 Financial Centre_9350 S Dixie Hwy,9350 S Dixie Hwy,1585,NA,NA,New,A,51568556,8778332,32.8268385375392,610763
2018,Q1,South Florida,Miami,FL,CBD,Brickell Arch,South Florida_Brickell_Miami_Brickell Arch_1395 Brickell Ave,1395 Brickell Ave,1060,NA,NA,New,A,51568556,8778332,32.8268385375392,610763
2018,Q1,South Florida,Miami,FL,CBD,Brickell City Tower,South Florida_Brickell_Miami_Brickell City Tower_80 SW 8th St,80 SW 8th St,1245,NA,NA,New,O,50893104,7819149,32.8268385375392,603367
2018,Q1,South Florida,Miami,FL,CBD,Citigroup Center,South Florida_Downtown Miami_Miami_Citigroup Center_201 S Biscayne Blvd,201 S Biscayne Blvd,3330,NA,NA,New,A,51568556,8778332,32.8268385375392,610763
2018,Q1,South Florida,Miami,FL,Suburban,Midway Crossing,South Florida_West Miami/Airport_Miami_Midway Crossing_7795 W Flagler St,7795 W Flagler St,2700,Angels,NA,New,O,50893104,7819149,32.8268385375392,603367
2018,Q1,South Florida,Miami,FL,Suburban,Ocean Bank Bld 2,South Florida_West Miami/Airport_Miami_Ocean Bank Bld 2_782 NW 42nd Ave,782 NW 42nd Ave,3595,NA,NA,New,O,50893104,7819149,32.8268385375392,603367
2018,Q1,South Florida,Miami,FL,CBD,One Bayfront Plaza,South Florida_Downtown Miami_Miami_One Bayfront Plaza_100 S Biscayne Blvd,100 S Biscayne Blvd,3734,NA,NA,New,O,50893104,7819149,32.8268385375392,603367
2018,Q1,South Florida,Miami,FL,Suburban,RVH Office Center,South Florida_West Miami/Airport_Miami_RVH Office Center_8725 NW 18th Ter,8725 NW 18th Ter,1448,NA,NA,New,O,50893104,7819149,32.8268385375392,603367
2018,Q1,South Florida,Miami,FL,Suburban,Royal Palm Office Park,South Florida_West Miami/Airport_Miami_Royal Palm Office Park_8200 NW 41st St,8200 NW 41st St,130,NA,NA,New,A,51568556,8778332,32.8268385375392,610763
2018,Q1,South Florida,Miami,FL,Suburban,Royal Palm Office Park,South Florida_West Miami/Airport_Miami_Royal Palm Office Park_8200 NW 41st St,8200 NW 41st St,220,NA,NA,New,A,51568556,8778332,32.8268385375392,610763
2018,Q1,South Florida,Miami,FL,Suburban,Sunset Office Park,South Florida_South Dade_Miami_Sunset Office Park_9380 SW 72nd St,9380 SW 72nd St,325,NA,NA,New,O,50893104,7819149,32.8268385375392,603367
2018,Q1,South Florida,Miami,FL,CBD,100 Biscayne,South Florida_Downtown Miami_Miami_100 Biscayne_100 N Biscayne Blvd,100 N Biscayne Blvd,180,NA,NA,New,A,51568556,8778332,32.8268385375392,610763
2018,Q1,South Florida,Miami,FL,Suburban,5201 Waterford,South Florida_West Miami/Airport_Miami_5201 Waterford_5201 Waterford District Dr,5201 Waterford District Dr,1668,NA,NA,New,A,51568556,8778332,32.8268385375392,610763
2018,Q1,South Florida,Miami,FL,CBD,701 Brickell,South Florida_Brickell_Miami_701 Brickell_701 Brickell Ave,701 Brickell Ave,16570,NA,NA,New,A,51568556,8778332,32.8268385375392,610763
2018,Q1,South Florida,Miami,FL,CBD,801 Brickell,South Florida_Brickell_Miami_801 Brickell_801 Brickell Ave,801 Brickell Ave,1385,NA,NA,New,A,51568556,8778332,32.8268385375392,610763
2018,Q1,South Florida,Miami,FL,CBD,Brickell Bay Office Tower,South Florida_Brickell_Miami_Brickell Bay Office Tower_1001 Brickell Bay Dr,1001 Brickell Bay Dr,1530,Union Capital Group Usa,NA,New,A,51568556,8778332,32.8268385375392,610763
2018,Q1,South Florida,Miami,FL,Suburban,Kendall Summit B,South Florida_South Dade_Miami_Kendall Summit B_11410 N Kendall Dr,11410 N Kendall Dr,1169,NA,NA,New,O,50893104,7819149,32.8268385375392,603367
2018,Q1,South Florida,Miami,FL,Suburban,Midway Crossing,South Florida_West Miami/Airport_Miami_Midway Crossing_7795 W Flagler St,7795 W Flagler St,2766,NA,NA,New,O,50893104,7819149,32.8268385375392,603367
2018,Q1,South Florida,Miami,FL,Suburban,One Biscayne Place,South Florida_NE Dade_Miami_One Biscayne Place_11098 Biscayne Blvd,11098 Biscayne Blvd,1700,NA,NA,New,O,50893104,7819149,32.8268385375392,603367
2018,Q1,South Florida,Miami,FL,Suburban,One Datran Center,South Florida_South Dade_Miami_One Datran Center_9100 S Dadeland Blvd,9100 S Dadeland Blvd,1678,Maria L. Rubio,NA,New,A,51568556,8778332,32.8268385375392,610763
2018,Q1,South Florida,Miami,FL,Suburban,Sunset Office Park,South Florida_South Dade_Miami_Sunset Office Park_9380 SW 72nd St,9380 SW 72nd St,874,NA,NA,New,O,50893104,7819149,32.8268385375392,603367
2018,Q1,South Florida,Miami,FL,Suburban,The Tate Building at Dadeland Center,South Florida_South Dade_Miami_The Tate Building at Dadeland Center_7300 N Kendall Dr,7300 N Kendall Dr,2358,NA,NA,New,O,50893104,7819149,32.8268385375392,603367
2018,Q1,South Florida,Miami,FL,Suburban,The Tate Building at Dadeland Center,South Florida_South Dade_Miami_The Tate Building at Dadeland Center_7300 N Kendall Dr,7300 N Kendall Dr,9928,NA,NA,New,O,50893104,7819149,32.8268385375392,603367
2018,Q1,South Florida,Miami,FL,CBD,Wells Fargo Center,South Florida_Downtown Miami_Miami_Wells Fargo Center_333 SE 2nd Ave,333 SE 2nd Ave,6231,NA,NA,New,A,51568556,8778332,32.8268385375392,610763
2018,Q1,South Florida,Miami,FL,CBD,Wells Fargo Center,South Florida_Downtown Miami_Miami_Wells Fargo Center_333 SE 2nd Ave,333 SE 2nd Ave,6907,NA,NA,New,A,51568556,8778332,32.8268385375392,610763
2018,Q1,South Florida,Miami,FL,Suburban,800 Waterford,South Florida_West Miami/Airport_Miami_800 Waterford_800 Waterford Way,800 Waterford Way,26000,First Bank Of Florida,Financial Services and Insurance,New,A,51568556,8778332,32.8268385375392,610763
2018,Q2,South Florida,Miami,FL,CBD,100 Biscayne,South Florida_Downtown Miami_Miami_100 Biscayne_100 N Biscayne Blvd,100 N Biscayne Blvd,909,NA,NA,New,A,51817856,8799234,33.4349320475774,669302
2018,Q2,South Florida,Miami,FL,CBD,100 Biscayne,South Florida_Downtown Miami_Miami_100 Biscayne_100 N Biscayne Blvd,100 N Biscayne Blvd,4275,NA,NA,New,A,51817856,8799234,33.4349320475774,669302
2018,Q2,South Florida,Miami,FL,CBD,155185 SE 13th St,South Florida_Brickell_Miami_155185 SE 13th St_1221 Brickell Ave,1221 Brickell Ave,2101,Smart Legal,NA,New,A,51817856,8799234,33.4349320475774,669302
2018,Q2,South Florida,Miami,FL,Suburban,3550 Biscayne,South Florida_NE Dade_Miami_3550 Biscayne_3550 Biscayne Blvd,3550 Biscayne Blvd,1000,NA,NA,New,O,51137809,8032140,33.4349320475774,836465
2018,Q2,South Florida,Miami,FL,Suburban,3550 Biscayne,South Florida_NE Dade_Miami_3550 Biscayne_3550 Biscayne Blvd,3550 Biscayne Blvd,1904,NA,NA,New,O,51137809,8032140,33.4349320475774,836465
2018,Q2,South Florida,Miami,FL,CBD,444 Brickell,South Florida_Brickell_Miami_444 Brickell_444 Brickell Ave,444 Brickell Ave,4126,NA,NA,New,O,51137809,8032140,33.4349320475774,836465
2018,Q2,South Florida,Miami,FL,Suburban,4770 Building,South Florida_NE Dade_Miami_4770 Building_4770 Biscayne Blvd,4770 Biscayne Blvd,1159,NA,NA,New,O,51137809,8032140,33.4349320475774,836465
2018,Q2,South Florida,Miami,FL,Suburban,5775 Waterford,South Florida_West Miami/Airport_Miami_5775 Waterford_5775 Blue Lagoon Dr,5775 Blue Lagoon Dr,1048,NA,NA,New,O,51137809,8032140,33.4349320475774,836465
2018,Q2,South Florida,Miami,FL,Suburban,5805 Waterford,South Florida_West Miami/Airport_Miami_5805 Waterford_5805 Blue Lagoon Dr,5805 Blue Lagoon Dr,1340,NA,NA,New,O,51137809,8032140,33.4349320475774,836465
2018,Q2,South Florida,Miami,FL,Suburban,701 Waterford,South Florida_West Miami/Airport_Miami_701 Waterford_701 Waterford Way,701 Waterford Way,2879,NA,NA,New,A,51817856,8799234,33.4349320475774,669302
2018,Q2,South Florida,Miami,FL,CBD,800 Brickell,South Florida_Brickell_Miami_800 Brickell_800 Brickell Ave,800 Brickell Ave,1970,NA,NA,New,O,51137809,8032140,33.4349320475774,836465
2018,Q2,South Florida,Miami,FL,Suburban,8180 Doral Blvd,South Florida_West Miami/Airport_Miami_8180 Doral Blvd_8180 NW 36th St,8180 NW 36th St,387,NA,NA,New,O,51137809,8032140,33.4349320475774,836465
2018,Q2,South Florida,Miami,FL,Suburban,8180 Doral Blvd,South Florida_West Miami/Airport_Miami_8180 Doral Blvd_8180 NW 36th St,8180 NW 36th St,416,NA,NA,New,O,51137809,8032140,33.4349320475774,836465
2018,Q2,South Florida,Miami,FL,Suburban,8180 Doral Blvd,South Florida_West Miami/Airport_Miami_8180 Doral Blvd_8180 NW 36th St,8180 NW 36th St,581,NA,NA,New,O,51137809,8032140,33.4349320475774,836465
2018,Q2,South Florida,Miami,FL,Suburban,8180 Doral Blvd,South Florida_West Miami/Airport_Miami_8180 Doral Blvd_8180 NW 36th St,8180 NW 36th St,690,NA,NA,New,O,51137809,8032140,33.4349320475774,836465
2018,Q2,South Florida,Miami,FL,Suburban,8180 Doral Blvd,South Florida_West Miami/Airport_Miami_8180 Doral Blvd_8180 NW 36th St,8180 NW 36th St,1022,NA,NA,New,O,51137809,8032140,33.4349320475774,836465
2018,Q2,South Florida,Miami,FL,CBD,Banco Santander Building,South Florida_Brickell_Miami_Banco Santander Building_1401 Brickell Ave,1401 Brickell Ave,1100,NA,NA,New,A,51817856,8799234,33.4349320475774,669302
2018,Q2,South Florida,Miami,FL,CBD,Bayside Office Center,South Florida_Downtown Miami_Miami_Bayside Office Center_141 NE 3rd Ave,141 NE 3rd Ave,1056,NA,NA,New,O,51137809,8032140,33.4349320475774,836465
2018,Q2,South Florida,Miami,FL,CBD,Bayside Office Center,South Florida_Downtown Miami_Miami_Bayside Office Center_141 NE 3rd Ave,141 NE 3rd Ave,1836,NA,NA,New,O,51137809,8032140,33.4349320475774,836465
2018,Q2,South Florida,Miami,FL,CBD,Brickell Arch,South Florida_Brickell_Miami_Brickell Arch_1395 Brickell Ave,1395 Brickell Ave,4046,NA,NA,New,A,51817856,8799234,33.4349320475774,669302
2018,Q2,South Florida,Miami,FL,CBD,Brickell Bay Office Tower,South Florida_Brickell_Miami_Brickell Bay Office Tower_1001 Brickell Bay Dr,1001 Brickell Bay Dr,1067,NA,NA,New,A,51817856,8799234,33.4349320475774,669302
2018,Q2,South Florida,Miami,FL,Suburban,CBG Executive Offices,South Florida_South Dade_Miami_CBG Executive Offices_10700 Caribbean Blvd,10700 Caribbean Blvd,198,NA,NA,New,O,51137809,8032140,33.4349320475774,836465
2018,Q2,South Florida,Miami,FL,Suburban,CBG Executive Offices,South Florida_South Dade_Miami_CBG Executive Offices_10700 Caribbean Blvd,10700 Caribbean Blvd,1748,NA,NA,New,O,51137809,8032140,33.4349320475774,836465
2018,Q2,South Florida,Miami,FL,Suburban,Capital Plaza II,South Florida_South Dade_Miami_Capital Plaza II_8900 SW 107th Ave,8900 SW 107th Ave,690,NA,NA,New,O,51137809,8032140,33.4349320475774,836465
2018,Q2,South Florida,Miami,FL,CBD,Coral Plaza,South Florida_Coral Gables/Grove_Miami_Coral Plaza_2100 Coral Way,2100 Coral Way,512,NA,NA,New,O,51137809,8032140,33.4349320475774,836465
2018,Q2,South Florida,Miami,FL,Suburban,Flagler West Corporate Center,South Florida_West Miami/Airport_Miami_Flagler West Corporate Center_8700 W Flagler St,8700 W Flagler St,4800,NA,NA,New,O,51137809,8032140,33.4349320475774,836465
2018,Q2,South Florida,Miami,FL,Suburban,Kendall Summit B,South Florida_South Dade_Miami_Kendall Summit B_11410 N Kendall Dr,11410 N Kendall Dr,638,NA,NA,New,O,51137809,8032140,33.4349320475774,836465
2018,Q2,South Florida,Miami,FL,Suburban,Kendall Summit B,South Florida_South Dade_Miami_Kendall Summit B_11410 N Kendall Dr,11410 N Kendall Dr,793,NA,NA,New,O,51137809,8032140,33.4349320475774,836465
2018,Q2,South Florida,Miami,FL,Suburban,Meridian Executive Centre,South Florida_West Miami/Airport_Miami_Meridian Executive Centre_815 NW 57th Ave,815 NW 57th Ave,1085,NA,NA,New,O,51137809,8032140,33.4349320475774,836465
2018,Q2,South Florida,Miami,FL,CBD,North Tower,South Florida_Brickell_Miami_North Tower_1101 Brickell Ave,1101 Brickell Ave,2034,NA,NA,New,O,51137809,8032140,33.4349320475774,836465
2018,Q2,South Florida,Miami,FL,Suburban,Picasso Tower,South Florida_NE Dade_Miami_Picasso Tower_2800 Biscayne Blvd,2800 Biscayne Blvd,1486,NA,NA,New,O,51137809,8032140,33.4349320475774,836465
2018,Q2,South Florida,Miami,FL,Suburban,Picasso Tower,South Florida_NE Dade_Miami_Picasso Tower_2800 Biscayne Blvd,2800 Biscayne Blvd,1684,NA,NA,New,O,51137809,8032140,33.4349320475774,836465
2018,Q2,South Florida,Miami,FL,Suburban,Picasso Tower,South Florida_NE Dade_Miami_Picasso Tower_2800 Biscayne Blvd,2800 Biscayne Blvd,4544,NA,NA,New,O,51137809,8032140,33.4349320475774,836465
2018,Q2,South Florida,Miami,FL,Suburban,Picasso Tower,South Florida_NE Dade_Miami_Picasso Tower_2800 Biscayne Blvd,2800 Biscayne Blvd,5430,NA,NA,New,O,51137809,8032140,33.4349320475774,836465
2018,Q2,South Florida,Miami,FL,Suburban,RVH Office Center,South Florida_West Miami/Airport_Miami_RVH Office Center_8725 NW 18th Ter,8725 NW 18th Ter,2271,NA,NA,New,O,51137809,8032140,33.4349320475774,836465
2018,Q2,South Florida,Miami,FL,Suburban,Royal Palm Office Park,South Florida_West Miami/Airport_Miami_Royal Palm Office Park_8200 NW 41st St,8200 NW 41st St,100,NA,NA,New,A,51817856,8799234,33.4349320475774,669302
2018,Q2,South Florida,Miami,FL,Suburban,Royal Palm Office Park,South Florida_West Miami/Airport_Miami_Royal Palm Office Park_8200 NW 41st St,8200 NW 41st St,200,NA,NA,New,A,51817856,8799234,33.4349320475774,669302
2018,Q2,South Florida,Miami,FL,CBD,Sabadell Financial Center,South Florida_Brickell_Miami_Sabadell Financial Center_1111 Brickell Ave,1111 Brickell Ave,6974,NA,NA,New,A,51817856,8799234,33.4349320475774,669302
2018,Q2,South Florida,Miami,FL,Suburban,Sunset Office Park,South Florida_South Dade_Miami_Sunset Office Park_9380 SW 72nd St,9380 SW 72nd St,616,NA,NA,New,O,51137809,8032140,33.4349320475774,836465
2018,Q2,South Florida,Miami,FL,Suburban,NA,South Florida_West Miami/Airport_Miami_NA_7500 NW 25th St,7500 NW 25th St,13201,NA,NA,New,O,51137809,8032140,33.4349320475774,836465
2018,Q2,South Florida,Miami,FL,CBD,1450 Brickell,South Florida_Brickell_Miami_1450 Brickell_1450 Brickell Ave,1450 Brickell Ave,2759,NA,NA,New,A,51817856,8799234,33.4349320475774,669302
